code,name,line,lat,lng
S0928,삼성중앙,9호선,37.5130110,127.0532820
S0924,사평,9호선,37.5042060,127.0152590
S0921,구반포,9호선,37.5013640,126.9873320
S0919,흑석(중앙대입구),9호선,37.5087700,126.9637080
S0916,샛강,9호선,37.5172740,126.9284220
S0913,당산,9호선,37.5334060,126.9028090
S0910,염창,9호선,37.5469360,126.8749160
S0908,증미,9호선,37.5574020,126.8619390
S0906,양천향교,9호선,37.5683810,126.8413330
S0902,김포공항,9호선,37.5619160,126.8021520
S0110,청량리(서울시립대입구),1호선,37.5799560,127.0445850
S0012,곤제,의정부선,37.7504710,127.0837150
S0413,혜화,4호선,37.5823360,127.0018440
S0006,의정부중앙,의정부선,37.7436760,127.0495650
S0003,경전철의정부,의정부선,37.7372020,127.0432570
S0414,한성대입구(삼선교),4호선,37.5884580,127.0062210
S0012A,둔전,에버라인선,37.2670510,127.2136400
S0010,김량장,에버라인선,37.2372470,127.1987810
S0006A,초당,에버라인선,37.2607520,127.1594430
S0002,강남대,에버라인선,37.2701610,127.1260330
S0419,수유(강북구청),4호선,37.6380520,127.0257320
S0012B,파주,경의중앙선,37.8152980,126.7927830
S0005,운정,경의중앙선,37.7258260,126.7672570
S0013,백마,경의중앙선,37.6582390,126.7944610
S0018,화전,경의중앙선,37.6028880,126.8683870
S0025,서강대,경의중앙선,37.5518810,126.9357110
S0109,제기동,1호선,37.5781030,127.0348930
S0009,이천,경강선,37.2655790,127.4422600
S0006B,초월,경강선,37.3744190,127.2990000
S0001,판교,경강선,37.3947610,127.1112170
S0006C,강남구청,분당선,37.5174690,127.0411510
S0003A,숭의,수인선,37.4607890,126.6382970
S0003B,배방,장항선,36.7776290,127.0529910
S0320,남부터미널(예술의전당),3호선,37.4850130,127.0161890
S0008,남동인더스파크,수인선,37.4077220,126.6952160
S0001A,수원,분당선,37.2659170,126.9994220
S0023,보산,경원선,37.9137020,127.0572770
S0022,덕계,경원선,37.8184860,127.0564860
S0028,서동탄,경부선,37.1955040,127.0516720
S0317,잠원,3호선,37.5127590,127.0112200
S0012C,망포,분당선,37.2457950,127.0573530
S0028A,기흥,분당선,37.2750610,127.1159100
S0021,지평,중앙선,37.4763930,127.6298740
S0323,압구정,3호선,37.5270720,127.0284610
S0014,신원,중앙선,37.5255450,127.3729210
S0010A,도심,중앙선,37.5796220,127.2226720
S0007,도농,중앙선,37.6088060,127.1611530
S0004,망우,중앙선,37.5995500,127.0919090
S0319,금호,3호선,37.5480340,127.0158720
S0315,동대입구,3호선,37.5590520,127.0056020
S0011,성복,신분당선,37.3133350,127.0801000
S0014A,정자,신분당선,37.3670980,127.1084030
S0312,을지로3가,3호선,37.5666720,126.9925480
S0004A,강남,신분당선,37.4968370,127.0281040
S0309,경복궁(정부서울청사),3호선,37.5757620,126.9735300
S0017,김유정,경춘선,37.8184660,127.7143400
S0014B,굴봉산,경춘선,37.8320670,127.5576950
S0011A,청평,경춘선,37.7354880,127.4266100
S0009A,마석,경춘선,37.6527820,127.3117670
S0006D,금곡,경춘선,37.6373820,127.2078530
S0003C,별내,경춘선,37.6420200,127.1268400
S0306,홍제,3호선,37.5890660,126.9437360
S0305,녹번,3호선,37.6009270,126.9357560
S0226,인천대공원,인천2호선,37.4487690,126.7526180
S0222,석천사거리,인천2호선,37.4568050,126.7099860
S0220,석바위시장,인천2호선,37.4576110,126.6925750
S0219,가재울,인천2호선,37.4841920,126.6836730
S0211,석남(거북시장),인천2호선,37.5061930,126.6762030
S0213,서구청,인천2호선,37.5437420,126.6767870
S0208,검암,인천2호선,37.5686600,126.6756870
S0204,마전,인천2호선,37.5975660,126.6669980
S0231,신설동,2호선,37.5747470,127.0249320
S0103,센트럴파크,인천1호선,37.3930540,126.6347290
S0107,캠퍼스타운,인천1호선,37.3878550,126.6616730
S0110A,원인재,인천1호선,37.4123330,126.6878690
S0112,문학경기장,인천1호선,37.4349350,126.6985790
S0116,인천시청,인천1호선,37.4572630,126.7021430
S0125,부평,인천1호선,37.4905350,126.7234530
S0120,부평구청,인천1호선,37.5084070,126.7205550
S0126,계산,인천1호선,37.5432380,126.7281280
S0127,계양,인천1호선,37.5714490,126.7357800
S0105,종로5가,1호선,37.5709260,127.0018490
S0209,당산,2호선,37.5349460,126.9027670
S0206,대림(구로구청),2호선,37.4932430,126.8949320
S0208A,구로디지털단지,2호선,37.4852660,126.9014010
S0718,부천종합운동장,7호선,37.5053800,126.7973370
S0818,단대오거리,8호선,37.4452100,127.1568660
S0405,이촌(국립중앙박물관),4호선,37.5222950,126.9747330
S0101,인천공항2터미널,공항철도1호선,37.4606990,126.4414420
S0102,인천공항1터미널,공항철도1호선,37.4474640,126.4525080
S0104,운서,공항철도1호선,37.4929040,126.4937900
S0106,청라국제도시,공항철도1호선,37.5564090,126.6246480
S0401,신용산,4호선,37.5291700,126.9678940
S0108,계양,공항철도1호선,37.5716620,126.7363000
S0109A,김포공항,공항철도1호선,37.5618420,126.8019040
S0111,디지털미디어시티,공항철도1호선,37.5769580,126.8986090
S0113,공덕,공항철도1호선,37.5425300,126.9520240
S0114,서울역,공항철도1호선,37.5532470,126.9697690
S0402,숙대입구(갈월),4호선,37.5445600,126.9721060
S0013A,신설동,우이신설선,37.5760950,127.0232420
S0007A,성신여대입구(돈암),우이신설선,37.5924670,127.0165160
S0004B,정릉,우이신설선,37.6031330,127.0133960
S0001B,북한산보국문,우이신설선,37.6120720,127.0082510
S0005A,솔샘,우이신설선,37.6202380,127.0136260
S0010B,삼양,우이신설선,37.6269140,127.0181060
S0009B,화계,우이신설선,37.6341330,127.0175110
S0008A,가오리,우이신설선,37.6415370,127.0167890
S0003D,솔밭공원,우이신설선,37.6560300,127.0132730
S0002A,북한산우이,우이신설선,37.6629090,127.0127060
S0406,회현(남대문시장),4호선,37.5585140,126.9782460
S0410,명동,4호선,37.5609890,126.9863250
S0929,봉은사,9호선,37.5142190,127.0602450
S0927,선정릉,9호선,37.5102970,127.0439990
S0926,언주,9호선,37.5072870,127.0338680
S0925,신논현,9호선,37.5045980,127.0250600
S0923,고속터미널,9호선,37.5059800,127.0044030
S0922,신반포,9호선,37.5034150,126.9959250
S0920,동작(현충원),9호선,37.5028780,126.9781530
S0412,충무로,4호선,37.5612070,126.9940800
S0918,노들,9호선,37.5128870,126.9532220
S0917,노량진,9호선,37.5135340,126.9410050
S0915,여의도,9호선,37.5217600,126.9240300
S0914,국회의사당,9호선,37.5281050,126.9178740
S0912,선유도,9호선,37.5380200,126.8935250
S0911,신목동,9호선,37.5442770,126.8830800
S0415,동대문역사문화공원,4호선,37.5651330,127.0078850
S0909,등촌,9호선,37.5506320,126.8656890
S0907,가양,9호선,37.5613910,126.8544560
S0905,마곡나루,9호선,37.5667780,126.8273100
S0904,신방화,9호선,37.5675320,126.8166010
S0903,공항시장,9호선,37.5637260,126.8106780
S0901,개화,9호선,37.5786080,126.7981530
S0416,동대문,4호선,37.5709300,127.0092870
S0015,탑석,의정부선,37.7335790,127.0887040
